Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:20:19,07-12-2024 09:20:19,0.001s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:20:19,07-12-2024 09:20:19,0.002s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:20:19,07-12-2024 09:20:19,0.001s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:20:19,07-12-2024 09:20:25,5.668s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:20:25,07-12-2024 09:20:31,5.736s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:20:31,07-12-2024 09:20:36,5.865s,PASSED
"click(findTestObject(""Payment/a_Cart""))",Chrome 131.0.0.0,,,07-12-2024 09:20:36,07-12-2024 09:20:42,5.522s,PASSED
"click(findTestObject(""Payment/a_Proceed to Checkout""))",Chrome 131.0.0.0,,,07-12-2024 09:20:42,07-12-2024 09:20:48,6.289s,PASSED
"click(findTestObject(""Payment/a_Back to Cart""))",Chrome 131.0.0.0,,,07-12-2024 09:20:48,07-12-2024 09:20:54,5.721s,PASSED
currentUrl = getUrl(),Chrome 131.0.0.0,,,07-12-2024 09:20:54,07-12-2024 09:20:54,0.089s,PASSED
"expectedUrl = ""http://shopbachhoaweb.wuaze.com/cart.php""",Chrome 131.0.0.0,,,07-12-2024 09:20:54,07-12-2024 09:20:54,0.000s,PASSED
"verifyMatch(currentUrl, expectedUrl, false)",Chrome 131.0.0.0,,,07-12-2024 09:20:54,07-12-2024 09:20:54,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,07-12-2024 09:20:54,07-12-2024 09:20:54,0.001s,PASSED
,,,,,,,
Test Cases/Payment/PM_Check that the Paypal Checkout button is working,Chrome 131.0.0.0,Check the “Paypal Checkout” button to redirect users to Paypal’s payment page,,07-12-2024 09:20:54,07-12-2024 09:22:09,1m - 14.817s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,07-12-2024 09:20:54,07-12-2024 09:21:13,19.157s,PASSED
